,smiles,per_inh
180,C[C@H](Cc1ccc(Oc2ccc(C[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2)cc1)NC[C@H](O)c1cccc(Cl)c1.Cl,0.99
181,C[C@H](Cc1ccc(OCCCCCOc2ccc(C[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2)cc1)NC[C@H](O)c1cccc(Cl)c1.Cl,0.99
182,C[C@H](Cc1ccc(OCCCCCCOc2ccc(C[C@@H](C)N[C@H](C)c3ccccc3)cc2)cc1)NC[C@H](O)c1cccc(Cl)c1.Cl,0.99
183,C[C@H](Cc1ccc(OCCCOc2ccc(C[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2)cc1)NC[C@H](O)c1cccc(Cl)c1.Cl,0.99
184,C[C@H](Cc1ccc(OCCCCCCCOc2ccc(C[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2)cc1)NC[C@H](O)c1cccc(Cl)c1.Cl,0.99
185,Cc1c2ccncc2c(C)c2c1[nH]c1cc(Cc3ccccc3)c(O)cc12,0.99
186,CCc1c(CCNCCCC(C)CCNCCc2ccc(OC)c(OC)c2CC)ccc(OC)c1OC.Cl,0.99
187,COc1ccc(CCN(C)CCOc2ccc(NC(=O)COc3ccc4sc5ccccc5c(=O)c4c3)cc2)cc1OC,0.99
188,COc1ccc(CCN(C)CCCOc2ccc(NC(=O)COc3cccc4sc5ccccc5c(=O)c34)cc2)cc1OC,0.99
189,Cc1cc(-c2ccc(CNC3Cc4ccccc4C3)cc2)ccc1S(=O)(=O)NCCN1CCCC1.O=C(O)C(F)(F)F,0.99
190,COC(=O)C(NC(=O)c1ccc(-c2ccc(-c3nc4ccccc4[nH]3)s2)cc1)c1ccc(O)cc1,0.99
191,CN(CCc1ccccc1)c1ncc(-c2cccc(CNCCC3CCCN3C)c2)cn1,0.99
